Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Inspection,517 Byron St,Aug 22 2011,Permit Issued,Approved,11000-01967,Permit: #11000-01967,RE-ROOFING: INSTALL NEW LIGHT WEIGHT TERRA-COTA TILE ROOFING WITH NEW SHEATHING AND RADIAN BARRIER; REMOVE EXISTING WOOD SHAKE ROOFING.,
palo alto,— Permit,1650 University Av,Jun 15 2011,Permit Issued,Permit Issued,10000-00984,Permit: #11REV-00241,10-984: ADD NEW EXTERIOR AC UNIT,
palo alto,— Inspection,890 Marshall Dr,Jun 18 2015,Permit Issued,Approved,15000-00467,Res Elect/Plbg/Mech only,RESIDENTIAL LEVEL 2 EV CHARGER LOCATED IN THE GARAGE,
palo alto,Plam Check,531 Cowper St,Jun 26 2015,Finaled,Plan check not required,15000-00029,Com Elect/Plbg/Mech only,INSTALL ELECTRICAL (2) ILLUMINATED SIGNS PER 15PLN-121,
palo alto,— Inspection,380 Oxford Av,Jun 17 2013,Permit Issued,Approved,13000-01481,Permit: #13000-01481,REROOF DETACHED GARAGE WITH COMPOSITION TILES,
palo alto,Plam Check,3460 W Bayshore Rd,Mar 25 2015,Permit Issued,Plan check not required,15000-00734,Com Elect/Plbg/Mech only,ILLUMINATED SIGN FOR "ADAPTIVE" [15PLN-00012],
palo alto,— Inspection,871 Robb Rd,Aug 21 2012,Permit Issued,Approved,11000-03237,Permit: #11000-03237,RESIDENTIAL ROOF MOUNTED PV SYSTM: INSTALL 30 SOLAR MODULES ON THE ROOF OF A NEW HOUSE,
palo alto,— Permit,3872 Corina Wy,Jul 11 2011,Permit Issued,Permit Issued,10000-02539,Permit: #11REV-00276,10-2539: REVISION OF VAULTED ROOF CEILING DETAIL AT DETACHED GARAGE; REPLACE FLAT CEILING TO U-CEILING.,
palo alto,— Inspection,1072 Tanland Dr,Apr 25 2012,Permit Issued,Approved,11000-02473,Permit: #11000-02473,REMOVE EXISTING COMMON LAUNDRY ROOM AND CONVERT TO THIRD BEDROOM. INCLUDES RELOCATING EXISTING BATHROOM. (UNIT 106 AND 206),
palo alto,— Inspection,1526 Louisa Ct,Mar 1 2011,Permit Issued,Approved,10000-03395,Permit: #11000-00440,TEMP POWER POLE -TEMP POST,
palo alto,— Inspection,465 Loma Verde Av,Aug 27 2013,Permit Issued,Approved,13000-02106,Permit: #13000-02106,RESIDENTIAL ROOF MOUNTED PV SYSTEM 6.7 KW,
