Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
downtown north,— Permit Issuance,340 University Av,Jun 22 2016,Permit Issued,Permit Issued,16000-01535,Com Remodel/Repair,REPLACE TILE LANDING WITH NEW CONCRETE LANDING,
downtown north,— Inspection,101 Alma St Unit 708,Jun 15 2016,Finaled,Approved,15000-01401,Res Remodel/Repair,RESIDENTIAL MULTI-FAMILY: CONVERT (E) BALCONY (245 SF) INTO CONDITIONED SPACE WITH (N) SLIDING DOORS AND (N) FIXED WINDOWS AND REPLACE (E) SLIDING DOOR IN (E) ENCLOSED PORTION OF BALCONY NO ELECTRICAL WORK,
downtown north,Plam Check,488 University Av,Jun 30 2016,In Plan Check,Plans received; pending review,16000-01646,Com Elect/Plbg/Mech only,UPGRADING TELECOM SITE TO ACCOMODATE NEW AC 5C AND 6C TECHNOLOGY. SCOPE OF WORK: TO REPLACE (6) EXISTING 4' ANTENNAS WITH NEW AND ADD (3) RADIOS NEAR THE EXISTING ANTENNAS ADD (6) RADIOS TO THE SHELTER AND ADD (12) COAX LINES. **THIS IS AN ARB CONCURRENT REVIEW 16PLN-00208** SPOKE WITH CLARE H. RE: HISTORIC STATUS OF THIS BLD ... SHE CONFIRMED REBECCA WILL WORK MATT,
downtown north,— Permit,151 University Av,Jun 24 2016,Permit Issued,Permit Issued,16REV-00238,Revision,15-3091: EXTERIOR WORK AND CANOPY THROUGH 15PLN - 00479.,
downtown north,— Urban Forestry Review,115 Waverley St,Jun 30 2016,In Plan Check,Approved,16000-01543,Res Addition & Remodel,RESIDENTIAL ADDITION AND COMPLETE REMODEL. INCLUDES NEW BASEMENT AND ADDITION TO 1ST AND 2ND FLOOR.,
downtown north,Plam Check,101 Alma St,Jun 28 2016,In Plan Check,Approved,16000-01441,Com Remodel/Repair,IINSTALL (3) ANTENNAS (3) RRUS REPLACE (1) EXISTING CABINET. CONCURRENT ARB.,
downtown north,Plam Check,250 University Av,Jun 28 2016,In Plan Check,Not approved,16000-00973,Com Remodel/Repair,TI AND U&O FOR "SKOLL FOUNDATION" TO OCCUPY ENTIRE 2ND FLOOR AND HALF OF 3RD FLOOR. SCOPE OF WORK INCLUDES DEMOLITION OF SOME INTERIOR WALLS MOVING A GALLEY TO A NEW LOCATION NEW MOVABLE PARTITION REMODEL EXISTING CONFERENCE ROOM AND FILM ROOM NEW CEILING/LIGHTING CONTROLS. ACCESSIBILITY UPGRADE TO GARAGE AND RESTROOMS.,
downtown north,Plam Check,445 Bryant St,Jul 1 2016,In Plan Check,Not approved,16000-01410,Com Remodel/Repair,INSTALL PHOTOLTAIC CANOPY 18300SF OVER EXISTING PARKING GARAGE AND ASSOCIATED ELECTRICAL WORK. PHOTOVOLTAIC SYSTEM HAS 751 PANELS GENERATING MAXIMUM 240KW. PROJECT INCLUDES INSTALL (3) LEVEL 2 EVSE UNITS.,
downtown north,— Inspection,352 Middlefield Rd,Jun 16 2016,Permit Issued,Approved,16000-00264,Res Addition & Remodel,RESIDENTIAL ADDITION 585 SF AND ASSOCIATED REMODEL.,
downtown north,— Permit Issuance,515 Lytton Av,Jun 15 2016,Permit Issued,Permit Issued,16000-01467,Res Remodel/Repair,CONVERT STORAGE ON 2ND FLOOR TO FULL BATH ADJACENT LOFT TO OFFICE 200SF,
